lat,lon,name,type
22.48416667,80.36194444,Bamni,Base
22.49166667,76.99388889,Handia,Base
22.64944444,77.48833333,Awalighat,Base
11.47777778,77.7,URACHIKOTTAI,Base
31.60555556,78.43583333,MOORANG,Base
25.11555556,92.85666667,Harangajao,Base
21.94972222,83.41666667,Mahulpali,Base
20.98305556,83.53944444,Salebhata,Base
29.23888889,78.65694444,Seohara,Base
20.1975,83.225,Kesinga,Base
20.65833333,83.73194444,Kantamal,Base
28.69055556,77.84972222,Chupkoli,Base
21.30916667,83.89972222,Deogaon,Base
20.83055556,84,Khairmal,Base
21.01583333,83.10305556,Padampur,Base
20.3325,86.48083333,Marshaghai ,Base
20.00361111,85.64388889,Kanas (S),Base
20.44416667,86.2475,Pubansa (S),Base
25.63877778,82.86108889,MAIGHAT,Base
27.04222222,93.46166667,Jotte,Base
23.16305556,75.41,Palwa,Base
26.59166667,90.83,PANBARI,Base
21.54305556,73.795,SAGBARA,Base
30.17222222,77.39222222,Fateh Garh,Base
17.53972222,73.52388889,Muradpur,Base
30.61083333,78.31638889,Dharasu,Base
11.48555556,76.8325,Kukkalthurai,Base
26.72083333,85.54416667,Indo-Nepal Border (Bhutahi),Base
24.24916667,80.25166667,TIGHARA,Base
23.21611111,74.78,Borwa,Base
26.94166667,78.57333333,BATESHWAR,Base
28.80888889,79.20916667,Bhatpura,Base
26.19944444,80.5375,Purwamir,Base
27.73833333,80.26694444,Maigalganj,Base
30.40805556,79.38888889,Birahi,Base
30.42027778,79.41416667,Pipalkoti,Base
30.265,79.21444444,Karnaprayag (A),Base
30.05166667,78.21833333,Sataynarayan,Base
11.36194444,76.00194444,THOTTATHINKADAVU,Base
20.70805556,76.99305556,AKOLA,Base
29.43805556,80.24583333,Pancheshwar,Base
27.12416667,77.7425,KIRAOLI,Base
25.39138889,78.62777778,NAUTGHAT,Base
27.12138889,78.53277778,RUPAS NAGAR,Base
21.28472222,72.95055556,KHOLWAD(KATHORE),Base
29.54,79.55333333,Suyalbari,Base
